Route:varchar,Direction:varchar,DirectionDescription:varchar,ListOrder:varchar,Active:varchar,RouteType:varchar,dircode:varchar,route_id:int
Route,Direction,DirectionDescription,ListOrder,Active,RouteType,dircode,route_id
95,Northbound,Gulph Mills,155,1,Bus,1, 
96,Northbound,Lansdale,157,1,Bus,0, 
96,Southbound,Norristown Transportation Center,158,1,Bus,1, 
97,Eastbound,Chestnut Hill,159,1,Bus,0, 
97,Westbound,Norristown Transportation Center,160,1,Bus,1, 
98,Eastbound,Plymouth Meeting Mall and Willow Grove Park Mall,161,1,Bus,0, 
98,Westbound,Norristown Transportation Center,162,1,Bus,1, 
99,Westbound,Phoenixville,164,1,Bus,0, 
99,Eastbound,Norristown Transportation Center,163,1,Bus,1, 
101,Westbound,Media,166,1,Bus,0, 
101,Eastbound,69th Street Transportation Center,165,1,Bus,1, 
102,Westbound,Sharon Hill,168,1,Bus,0, 
102,Eastbound,69th Street Transportation Center,167,1,Bus,1, 
103,Northbound,Ardmore,169,1,Bus,0, 
103,Southbound,69th Street Transportation Center,170,1,Bus,1, 
104,Westbound,West Chester University,172,1,Bus,0, 
104,Eastbound,69th Street Transportation Center,171,1,Bus,1, 
105,Westbound,Ardmore and Paoli,174,1,Bus,0, 
105,Eastbound,69th Street Transportation Center,173,1,Bus,1, 
106,Westbound,Ardmore and Paoli,176,1,Bus,0, 
106,Eastbound,69th Street Transportation Center,175,1,Bus,1, 
107,Westbound,Lawrence Park,178,1,Bus,0, 
107,Eastbound,69th Street Transportation Center,177,1,Bus,1, 
108,Southbound,Philadelphia International Airport or UPS,180,1,Bus,0, 
108,Northbound,69th Street Transportation Center,179,1,Bus,1, 
109,Westbound,Chester Transportation Center,182,1,Bus,0, 
109,Eastbound,69th Street Transportation Center,181,1,Bus,1, 
110,Westbound,Springfield Mall and Penn State,184,1,Bus,0, 
110,Eastbound,69th Street Transportation Center,183,1,Bus,1, 
111,Westbound,Penn State and Chadds Ford,186,1,Bus,0, 
111,Eastbound,69th Street Transportation Center,185,1,Bus,1, 
112,Westbound,Delaware County Community College,188,1,Bus,0, 
112,Eastbound,69th Street Transportation Center,187,1,Bus,1, 
113,Westbound,Tri-State Mall,190,1,Bus,0, 
113,Eastbound,69th Street Transportation Center,189,1,Bus,1, 
114,Westbound,Granite Run Mall,192,1,Bus,0, 
114,Eastbound,Darby Transportation Center,191,1,Bus,1, 
115,Northbound,Delaware County Community College,193,1,Bus,0, 
115,Southbound,PHL or Airport Business Center,194,1,Bus,1, 
117,Northbound,Penn State,197,1,Bus,0, 
117,Southbound,I-95 Industrial Park,198,1,Bus,1, 
118,Northbound,Newtown Square,199,1,Bus,0, 
118,Southbound,Chester Transportation Center,200,1,Bus,1, 
119,Northbound,Cheyney University,201,1,Bus,0, 
119,Southbound,Chester Transportation Center,202,1,Bus,1, 
120,Westbound,Cheyney University,204,1,Bus,0, 
120,Eastbound,69th Street Transportation Center,203,1,Bus,1, 
123,Westbound,King of Prussia,206,1,Bus,0, 
123,Eastbound,69th Street Transportation Center,205,1,Bus,1, 
124,Westbound,King of Prussia and Chesterbrook,208,1,Bus,0, 
124,Eastbound,13th-Market,207,1,Bus,1, 
125,Westbound,King of Prussia and Valley Forge,210,1,Bus,0, 
125,Eastbound,13th-Market,209,1,Bus,1, 
126,Westbound,Lawrence Park Shopping Center,292,1,Bus,0, 
126,Eastbound,69th Street Transporation Center - West,293,1,Bus,1, 
127,Eastbound,Trenton Transit Center,211,1,Bus,0, 
127,Westbound,Oxford Valley Mall,212,1,Bus,1, 
128,Southbound,Neshaminy Mall,214,1,Bus,0, 
128,Northbound,Oxford Valley Mall,213,1,Bus,1, 
129,Southbound,Frankford-Knights,216,1,Bus,0, 
129,Northbound,Oxford Valley Mall,215,1,Bus,1, 
130,Northbound,Bucks County Community College,217,1,Bus,0, 
130,Southbound,Frankford-Knights,218,1,Bus,1, 
131,Westbound,Audubon,220,1,Bus,0, 
131,Eastbound,Norristown Transportation Center,219,1,Bus,1, 
132,Northbound,Telford,221,1,Bus,0, 
132,Southbound,Montgomery Mall,222,1,Bus,1, 
133,Eastbound,Bensalem,295,1,Bus,0, 
133,Westbound,Frankford-Knights,294,1,Bus,1, 
139,Westbound,Philadelphia Premium Outlets,226,1,Bus,0, 
139,Eastbound,King of Prussia,225,1,Bus,1, 
150,Eastbound,Parx Casino,227,1,Bus,0, 
150,Westbound,Plymouth Meeting Mall,228,1,Bus,1, 
201,Eastbound,Fort Washington Office Center,229,1,Bus,0, 
201,Westbound,Fort Washington Station,230,1,Bus,1, 
204,Westbound,Exton Lionville and Eagleview,232,1,Bus,0, 
204,Eastbound,Paoli Station,231,1,Bus,1, 
205,Westbound,Phoenixville,234,1,Bus,0, 
205,Eastbound,Paoli Station,233,1,Bus,1, 
206,Eastbound,Great Valley Corporate Center,235,1,Bus,0, 
206,Westbound,Paoli Station,236,1,Bus,1, 
310,Northbound,Horsham & Willow Grove,241,1,Bus,0, 
47M,Northbound,7th and Spring Garden,86,1,Bus,0, 
47M,Southbound,9th Street,87,1,Bus,1, 
BSL,Southbound,South Philadelphia,264,1,RailTransit,0, 
BSL,Northbound,Fern Rock Transportation Center,263,1,RailTransit,1, 
BSO,Southbound,South Philadelphia,262,1,RailTransit,0, 
BSO,Northbound,Fern Rock Transportation Center,261,1,RailTransit,1, 
G,Northbound,Overbrook and Lankenau Medical Center,267,1,Bus,0, 
G,Southbound,Columbus Commons,268,1,Bus,1, 
H,Southbound,Broad-Erie,271,1,Bus,0, 
H,Northbound,Cheltenham-Ogontz,272,1,Bus,1, 
J,Westbound,Chelten-Wissahickon,274,1,Bus,0, 
J,Eastbound,Richmond-Orthodox,273,1,Bus,1, 
K,Westbound,Ridge-Midvale,276,1,Bus,0, 
K,Eastbound,Arrott Transportation Center,275,1,Bus,1, 
L,Northbound,Erdenheim,280,1,Bus,0, 
L,Southbound,Olney Transportation Center,281,1,Bus,1, 
LUCYGO,LOOP,University City Gold Loop,282,1,Bus,0, 
LUCYGR,LOOP,University City Green Loop,283,1,Bus,0, 
MFL,Eastbound,Frankford Transportation Center,284,1,RailTransit,0, 
MFL,Westbound,69th Street Transportation Center,285,1,RailTransit,1, 
MFO,Eastbound,Frankford Transportation Center,286,1,RailTransit,0, 
MFO,Westbound,69th Street Transportation Center,287,1,RailTransit,1, 
NHSL,Northbound,Norristown Transportation Center,288,1,RailTransit,0, 
NHSL,Southbound,69th Street Transportation Center,289,1,RailTransit,1, 
R,Westbound,Henry-Midvale,291,1,Bus,0, 
R,Eastbound,Frankford Transportation Center,290,1,Bus,1, 
XH,Southbound,Broad-Erie,283,1,Bus,0, 
XH,Northbound,Cheltenham-Ogontz,283,1,Bus,1, 
